timestamp,passenger_count,rolling_mean_48,rolling_std_48,diff_1,hour,dayofweek,is_weekend
2014-07-01 00:00,10844,10844,0,0,0,1,0
2014-07-01 00:30,8127,9485.5,1921.21,-2717,0,1,0
2014-07-01 01:00,6210,8393.67,2328.48,-1917,1,1,0
2014-07-01 01:30,4656,7459.25,2665.91,-1554,1,1,0
2014-07-01 02:00,3820,6731.4,2824.74,-836,2,1,0
2014-07-01 02:30,2873,6088.33,2977.33,-947,2,1,0
2014-07-01 03:00,2369,5557,3059.95,-504,3,1,0
2014-07-01 03:30,2064,5120.38,3090.44,-305,3,1,0
2014-07-01 04:00,2221,4798.22,3048.12,157,4,1,0
2014-07-01 04:30,2158,4534.2,2992.62,-63,4,1,0
2014-07-01 05:00,2515,4350.64,2903.59,357,5,1,0
2014-07-01 05:30,4364,4351.75,2768.47,1849,5,1,0
2014-07-01 06:00,6526,4519,2718.34,2162,6,1,0
2014-07-01 06:30,11039,4984.71,3139.65,4513,6,1,0
2014-07-01 07:00,13857,5576.2,3794.88,2818,7,1,0
2014-07-01 07:30,15865,6219.25,4478.53,2008,7,1,0
2014-07-01 08:00,17920,6907.53,5182.38,2055,8,1,0
2014-07-01 08:30,20346,7654.11,5942.24,2426,8,1,0
2014-07-01 09:00,19539,8279.63,6386.14,-807,9,1,0
2014-07-01 09:30,20107,8871,6755.04,568,9,1,0
2014-07-01 10:00,18984,9352.57,6944,-1123,10,1,0
2014-07-01 10:30,17720,9732.91,7007.53,-1264,10,1,0
2014-07-01 11:00,17249,10059.7,7023.5,-471,11,1,0
2014-07-01 11:30,18463,10409.8,7080.05,1214,11,1,0
2014-07-01 12:00,18908,10749.8,7136.33,445,12,1,0
2014-07-01 12:30,18886,11062.7,7171.91,-22,12,1,0
2014-07-01 13:00,18178,11326.2,7164.71,-708,13,1,0
2014-07-01 13:30,19459,11616.7,7196.81,1281,13,1,0
2014-07-01 14:00,19546,11890.1,7218.89,87,14,1,0
2014-07-01 14:30,20591,12180.1,7269.03,1045,14,1,0
2014-07-01 15:00,19380,12412.4,7262.9,-1211,15,1,0
2014-07-01 15:30,18544,12604,7226.55,-836,15,1,0
2014-07-01 16:00,16228,12713.8,7140.66,-2316,16,1,0
2014-07-01 16:30,15013,12781.4,7042.69,-1215,16,1,0
2014-07-01 17:00,17203,12907.8,6978.48,2190,17,1,0
2014-07-01 17:30,19525,13091.6,6965.92,2322,17,1,0
2014-07-01 18:00,22966,13358.5,7057.72,3441,18,1,0
2014-07-01 18:30,27598,13733.2,7334.92,4632,18,1,0
2014-07-01 19:00,26827,14068.9,7535.34,-771,19,1,0
2014-07-01 19:30,24904,14339.8,7632.85,-1923,19,1,0
2014-07-01 20:00,22875,14548,7653.81,-2029,20,1,0
2014-07-01 20:30,20394,14687.2,7613.52,-2481,20,1,0
2014-07-01 21:00,23401,14889.8,7638.81,3007,21,1,0
2014-07-01 21:30,24439,15106.8,7685.49,1038,21,1,0
2014-07-01 22:00,23318,15289.3,7695.63,-1121,22,1,0
2014-07-01 22:30,21733,15429.4,7668.72,-1585,22,1,0
2014-07-01 23:00,20104,15528.9,7615.49,-1629,23,1,0
2014-07-01 23:30,16111,15541,7534.51,-3993,23,1,0
2014-07-02 00:00,13370,15593.6,7509.78,-2741,0,2,0
2014-07-02 00:30,9945,15631.5,7475.83,-3425,0,2,0
2014-07-02 01:00,7571,15659.8,7441.84,-2374,1,2,0
2014-07-02 01:30,5917,15686.1,7404.3,-1654,1,2,0
2014-07-02 02:00,4820,15706.9,7371.54,-1097,2,2,0
2014-07-02 02:30,3634,15722.8,7344.12,-1186,2,2,0
2014-07-02 03:00,2993,15735.8,7320.49,-641,3,2,0
2014-07-02 03:30,2535,15745.6,7302.07,-458,3,2,0
2014-07-02 04:00,2570,15752.9,7288.48,35,4,2,0
2014-07-02 04:30,2485,15759.7,7275.64,-85,4,2,0
2014-07-02 05:00,2868,15767,7262.13,383,5,2,0
2014-07-02 05:30,4482,15769.5,7258.21,1614,5,2,0
2014-07-02 06:00,6788,15775,7251.21,2306,6,2,0
2014-07-02 06:30,11078,15775.8,7250.67,4290,6,2,0
2014-07-02 07:00,13729,15773.1,7251.41,2651,7,2,0
2014-07-02 07:30,16700,15790.5,7252.64,2971,7,2,0
2014-07-02 08:00,19156,15816.2,7262.55,2456,8,2,0
2014-07-02 08:30,19953,15808.1,7257.55,797,8,2,0
2014-07-02 09:00,19502,15807.3,7257.15,-451,9,2,0
2014-07-02 09:30,18994,15784.1,7244.88,-508,9,2,0
2014-07-02 10:00,17311,15749.2,7233.18,-1683,10,2,0
2014-07-02 10:30,17904,15753.1,7234.29,593,10,2,0
2014-07-02 11:00,17133,15750.7,7233.8,-771,11,2,0
2014-07-02 11:30,18589,15753.3,7234.83,1456,11,2,0
2014-07-02 12:00,19134,15758,7237,545,12,2,0
2014-07-02 12:30,19259,15765.8,7240.63,125,12,2,0
2014-07-02 13:00,18667,15776,7244.44,-592,13,2,0
2014-07-02 13:30,19078,15768,7240.52,411,13,2,0
2014-07-02 14:00,18546,15747.2,7230.86,-532,14,2,0
2014-07-02 14:30,18593,15705.6,7208.09,47,14,2,0
2014-07-02 15:00,17967,15676.1,7195.64,-626,15,2,0
2014-07-02 15:30,16624,15636.1,7184.69,-1343,15,2,0
2014-07-02 16:00,14634,15602.9,7185.58,-1990,16,2,0
2014-07-02 16:30,13888,15579.5,7189.38,-746,16,2,0
2014-07-02 17:00,17430,15584.2,7190.54,3542,17,2,0
2014-07-02 17:30,21919,15634.1,7226.67,4489,17,2,0
2014-07-02 18:00,23633,15648,7241.69,1714,18,2,0
2014-07-02 18:30,24512,15583.7,7146.42,879,18,2,0
2014-07-02 19:00,24887,15543.3,7086.71,375,19,2,0
2014-07-02 19:30,26872,15584.3,7147.45,1985,19,2,0
2014-07-02 20:00,22009,15566.2,7129.73,-4863,20,2,0
2014-07-02 20:30,18259,15521.8,7105.59,-3750,20,2,0
2014-07-02 21:00,20844,15468.5,7054.67,2585,21,2,0
2014-07-02 21:30,22576,15429.7,7009.24,1732,21,2,0
2014-07-02 22:00,22401,15410.6,6988.5,-175,22,2,0
2014-07-02 22:30,19056,15354.8,6947.53,-3345,22,2,0
2014-07-02 23:00,17518,15300.9,6919.9,-1538,23,2,0
2014-07-02 23:30,15307,15284.2,6918.87,-2211,23,2,0
2014-07-03 00:00,12646,15269.1,6923.91,-2661,0,3,0
2014-07-03 00:30,10562,15281.9,6914.39,-2084,0,3,0
2014-07-03 01:00,8416,15299.5,6895.39,-2146,1,3,0
2014-07-03 01:30,7098,15324.1,6863.23,-1318,1,3,0
